Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,220uf,
C2,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,0.1uF/275Vac,
C5,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,100nf,
C8,CP_Radial_D5.0mm_P2.50mm,1,10uf,
C9,CP_Radial_D5.0mm_P2.50mm,1,1uf,
D1,Diode_Bridge_Round_D9.0mm,1,2W02G,
D3,D_A-405_P10.16mm_Horizontal,1,1N4001,
DEV_BOARD1,Maple_Mini,1,Black_pill_stm32f411,
F1,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,1,0.5A,
F2,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,1,15A,
FL1,Choke_Schaffner_RN102-04-14.0x14.0mm,1,Choke_10mH,
"J1, J2",PinHeader_1x06_P2.54mm_Vertical,2,LevelShifter,
J10,TerminalBlock_bornier-2_P5.08mm,1,ssr1,
J11,TerminalBlock_bornier-2_P5.08mm,1,ssr2,
J12,PinHeader_1x05_P2.54mm_Vertical,1,encoder,
J13,PinHeader_1x05_P2.54mm_Vertical,1,Max6675_modulo2,
J14,PinHeader_1x05_P2.54mm_Vertical,1,Max6675_modulo3,
J15,PinHeader_1x05_P2.54mm_Vertical,1,Max6675_modulo4,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Display Oled I2C,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Max6675_modulo,
J5,PinHeader_1x04_P2.54mm_Vertical,1,ESP01,
J6,TerminalBlock_bornier-2_P5.08mm,1,Alimentación y zc,
J7,TerminalBlock_bornier-2_P5.08mm,1,Relevador a ventilador,
J8,PinHeader_1x01_P2.54mm_Vertical,1,resistencia,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
OC1,DIP-4_W10.16mm,1,PC817,
PS1,Converter_ACDC_Hi-Link_HLK-PMxx,1,HLK-PM01,
Q1,TO-92,1,2N2222A-TO92,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,1K,
"R11, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,4,10K,
"R5, R6",R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical,2,5k  1W,
RV1,RV_Disc_D7mm_W4.2mm_P5mm,1,10D561K,
U1,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U2,DIP-14_W7.62mm_Socket_LongPads,1,74LS14,
