Designator,Mid X,Mid Y,Rotation,Layer
C1,56.24,-91.024888,270.0,top
C2,123.74,-97.01,90.0,top
C5,72.145,-62.23,90.0,top
C8,48.8775,-102.914887,270.0,top
C9,48.7275,-97.12,90.0,top
D1,101.14,-49.5,180.0,top
D3,100.98,-35.86,270.0,top
DEV_BOARD1,62.585,-43.4,90.0,top
F1,121.85,-81.58,180.0,top
F2,121.8,-71.18,180.0,top
FL1,106.3275,-97.4275,180.0,top
J1,54.84,-78.52,180.0,top
J10,100.91,-60.17,90.0,top
J11,125.51,-49.57,90.0,top
J12,38.7,-60.62,180.0,top
J13,78.04,-29.54,90.0,top
J14,64.19,-29.52,90.0,top
J15,50.31,-29.54,90.0,top
J2,44.75,-78.52,0.0,top
J3,38.725,-73.41,0.0,top
J4,91.87,-29.56,90.0,top
J5,38.75,-84.865,180.0,top
J6,130.89,-92.685,90.0,top
J7,126.96,-38.98,270.0,top
K1,111.37,-35.845,0.0,top
OC1,92.495,-50.15,270.0,top
PS1,78.7625,-94.4125,180.0,top
Q1,96.045,-38.07,90.0,top
R10,91.05,-37.98,180.0,top
R11,43.475,-66.5,0.0,top
R5,111.68,-51.32,0.0,top
R6,111.6,-47.19,0.0,top
R7,92.275,-57.9,180.0,top
R8,43.475,-60.4,0.0,top
R9,43.475,-63.45,0.0,top
RV1,118.86,-96.87,90.0,top
U1,55.9775,-98.77,270.0,top
U2,60.915,-60.87,270.0,top
